"","MSACC","year","houseid","income","race","hispanic","reported","serious"
"1552",36,"1979",2,3,1,2,2,67
"1595",37,"1979",3,3,1,2,2,68
"1611",34,"1979",2,5,1,2,2,68
"1612",34,"1979",2,5,1,2,2,65
"1623",34,"1979",1,5,1,2,2,68
"1629",34,"1979",2,3,1,2,2,68
"1645",34,"1979",5,1,1,1,2,62
"1647",34,"1979",5,1,1,1,2,65
"1648",34,"1979",5,1,1,1,2,68
"1665",27,"1979",2,3,1,2,2,65
"1671",27,"1979",5,1,1,2,2,65
"1675",27,"1979",1,3,1,2,2,68
"1706",1,"1979",1,2,1,2,2,68
"1722",1,"1979",2,3,1,2,2,68
"1744",1,"1979",1,2,1,2,2,65
"1762",17,"1979",2,3,1,2,2,65
"1763",17,"1979",2,1,1,2,2,60
"1774",17,"1979",1,2,1,2,2,67
"1803",17,"1979",2,1,1,2,2,68
"1806",17,"1979",2,2,1,1,2,65
"1856",21,"1979",1,2,1,1,2,64
"1875",26,"1979",1,98,1,2,2,67
"1880",26,"1979",2,2,1,2,2,64
"1909",26,"1979",1,2,2,2,2,68
"1912",28,"1979",3,2,1,2,2,65
"1924",28,"1979",3,2,2,2,2,65
"1925",28,"1979",3,2,2,2,2,68
"1929",4,"1979",1,4,1,2,2,68
"1930",4,"1979",1,4,1,2,2,68
"1946",4,"1979",4,1,1,2,2,64
"1969",26,"1979",3,3,1,2,2,65
"1970",26,"1979",3,3,1,2,2,68
"1975",21,"1979",1,2,1,2,2,64
"1982",21,"1979",1,3,1,2,2,64
"1983",21,"1979",1,3,1,2,2,64
"1984",21,"1979",1,3,1,2,2,64
"1995",21,"1979",3,1,2,2,2,65
"2029",21,"1979",1,4,1,2,2,68
"2071",16,"1979",4,2,2,2,2,65
"2101",32,"1979",1,98,1,2,2,68
"2157",6,"1979",2,98,1,1,2,64
"2158",6,"1979",2,98,1,1,2,64
"2188",12,"1979",1,1,1,2,2,68
"2201",12,"1979",2,3,1,2,2,65
"2205",12,"1979",2,5,1,2,2,68
"2218",12,"1979",1,3,2,2,2,68
"2243",12,"1979",1,5,1,2,2,68
"2245",9,"1979",3,1,1,2,2,64
"2252",9,"1979",1,3,1,2,2,64
"2279",7,"1979",3,1,1,2,2,68
"2280",7,"1979",3,1,1,2,2,65
"2291",16,"1979",1,2,1,2,2,64
"2297",16,"1979",2,3,1,2,2,68
"2308",32,"1979",1,98,1,2,2,68
"2309",32,"1979",1,98,1,2,2,65
"2341",12,"1979",1,3,1,2,2,68
"2343",12,"1979",1,3,1,2,2,68
"2360",18,"1979",1,2,1,2,2,68
"2380",10,"1979",4,98,2,2,2,68
"2393",10,"1979",1,6,1,2,2,65
"2396",10,"1979",2,4,1,2,2,68
"2451",15,"1979",2,2,1,2,2,68
"2452",15,"1979",2,2,1,2,2,68
"2492",3,"1979",2,98,2,2,2,64
"2500",3,"1979",3,1,2,2,2,68
"2501",3,"1979",3,1,2,2,2,67
"2504",3,"1979",2,98,2,2,2,68
"2521",3,"1979",3,2,1,2,2,65
"2545",33,"1979",1,1,2,2,2,68
"2560",39,"1979",2,2,1,2,2,65
"2571",39,"1979",6,1,1,2,2,64
"2574",39,"1979",3,1,1,2,2,64
"2575",39,"1979",3,1,1,2,2,62
"2594",39,"1979",1,1,1,2,2,68
"2630",11,"1979",3,2,1,2,2,67
"2634",11,"1979",2,3,1,2,2,65
"2635",11,"1979",2,3,1,2,2,68
"2651",29,"1979",2,1,1,2,2,68
"2662",29,"1979",3,1,1,2,2,60
"2670",29,"1979",1,3,1,2,2,65
"2673",29,"1979",1,3,1,2,2,68
"2682",17,"1979",1,3,1,2,2,68
"2700",17,"1979",1,98,1,2,2,64
"2709",17,"1979",2,6,1,2,2,68
"2715",17,"1979",4,2,1,2,2,68
"2742",24,"1979",2,2,2,2,2,64
"2750",35,"1979",3,4,1,2,2,68
"2751",35,"1979",3,4,1,2,2,68
"2755",35,"1979",2,1,1,2,2,65
"2779",24,"1979",1,3,2,2,2,68
"2799",30,"1979",2,3,1,2,2,68
"2805",30,"1979",2,2,1,2,2,68
"2817",31,"1979",1,2,1,2,2,68
"2818",31,"1979",1,2,1,2,2,68
"2819",31,"1979",1,2,1,2,2,68
"2820",31,"1979",1,2,1,2,2,68
"2822",31,"1979",1,3,1,2,2,67
"2834",31,"1979",3,1,1,2,2,65
"2845",31,"1979",1,98,1,1,2,65
"2860",36,"1979",1,3,1,2,2,68
"2861",36,"1979",1,3,1,2,2,68
"2882",37,"1979",1,5,1,2,2,64
"2894",37,"1979",1,2,1,2,2,60
"2895",37,"1979",1,2,1,2,2,67
"2903",34,"1979",1,5,1,2,2,64
"2917",34,"1979",3,2,1,2,2,68
"2918",34,"1979",4,2,1,2,2,64
"2935",34,"1979",2,2,1,2,2,68
"2936",34,"1979",2,2,1,2,2,68
"2945",27,"1979",1,3,1,2,2,68
"2961",27,"1979",1,3,1,2,2,68
"2981",1,"1979",1,98,1,2,2,65
"2996",17,"1979",2,1,1,2,2,67
"3005",17,"1979",2,2,1,2,2,65
"3014",17,"1979",2,4,1,1,2,67
"3027",17,"1979",1,5,1,2,2,63
"3039",17,"1979",2,3,1,2,2,65
"3047",17,"1979",2,3,1,1,2,64
"3050",17,"1979",3,1,1,2,2,65
"3076",21,"1979",1,3,2,2,2,62
"3079",21,"1979",1,2,1,2,2,64
"3084",21,"1979",2,1,2,2,2,63
"3086",21,"1979",1,3,1,1,2,64
"3090",21,"1979",1,1,1,2,2,60
"3096",21,"1979",2,4,2,2,2,65
"3115",21,"1979",1,3,1,2,2,64
"3136",26,"1979",1,3,1,2,2,63
"3139",26,"1979",2,3,1,2,2,68
"3146",26,"1979",1,98,1,2,2,68
"3166",26,"1979",2,98,2,2,2,64
"3169",26,"1979",1,5,1,2,2,65
"3179",26,"1979",1,3,1,2,2,68
"3192",26,"1979",1,4,1,2,2,68
"3204",26,"1979",1,1,1,2,2,64
"3236",26,"1979",1,1,2,2,2,62
"3237",26,"1979",1,1,2,2,2,62
"3248",26,"1979",1,2,2,2,2,65
"3263",26,"1979",2,1,1,2,2,62
"3273",26,"1979",1,2,1,2,2,67
"3275",26,"1979",1,1,2,2,2,64
"3276",26,"1979",1,1,2,2,2,65
"3278",26,"1979",1,1,2,2,2,68
"3284",26,"1979",3,1,1,2,2,68
"3289",26,"1979",1,4,1,2,2,68
"3318",28,"1979",1,2,1,2,2,65
"3327",28,"1979",1,2,1,2,2,68
"3328",28,"1979",1,2,1,2,2,65
"3332",28,"1979",1,2,1,2,2,63
"3333",28,"1979",1,2,1,2,2,62
"3368",28,"1979",1,2,1,2,2,64
"3369",28,"1979",1,2,1,2,2,64
"3372",28,"1979",1,2,1,2,2,64
"3377",28,"1979",1,5,1,2,2,68
"3381",28,"1979",1,5,1,2,2,68
"3386",28,"1979",1,6,1,2,2,68
"3389",28,"1979",1,6,1,2,2,68
"3390",28,"1979",1,6,1,2,2,68
"3409",28,"1979",1,4,1,2,2,64
"3414",28,"1979",1,2,1,2,2,68
"3435",4,"1979",1,5,1,2,2,64
"3442",4,"1979",2,1,1,2,2,68
"3488",4,"1979",1,5,1,2,2,68
"3525",4,"1979",1,1,1,2,2,64
"3545",4,"1979",1,5,1,2,2,64
"3548",4,"1979",3,1,2,2,2,64
"3594",26,"1979",1,4,1,2,2,68
"3597",26,"1979",1,5,1,2,2,65
"3598",26,"1979",1,5,1,2,2,60
"3612",26,"1979",1,2,1,2,2,68
"3622",21,"1979",1,1,2,2,2,64
"3623",21,"1979",1,3,1,2,2,68
"3629",21,"1979",1,3,1,2,2,68
"3648",21,"1979",1,1,2,2,2,67
"3651",21,"1979",1,1,2,2,2,65
"3652",21,"1979",1,1,1,1,2,64
"3656",21,"1979",1,3,1,2,2,68
"3659",21,"1979",2,3,1,2,2,65
"3669",21,"1979",1,3,1,2,2,65
"3690",21,"1979",1,2,2,2,2,64
"3692",21,"1979",1,3,1,2,2,64
"3697",21,"1979",1,1,2,2,2,65
"3732",21,"1979",1,1,1,2,2,68
"3780",21,"1979",1,2,1,2,2,64
"3785",21,"1979",2,1,1,1,2,64
"3824",21,"1979",1,3,1,2,2,68
"3825",21,"1979",1,3,1,2,2,68
"3852",21,"1979",1,3,4,2,2,67
"3853",21,"1979",1,3,1,2,2,64
"3854",21,"1979",1,3,1,2,2,65
"3920",20,"1979",1,4,1,2,2,68
"3935",21,"1979",1,4,1,2,2,67
"3937",21,"1979",1,4,1,2,2,68
"3950",21,"1979",1,3,1,2,2,65
"3960",21,"1979",1,5,2,2,2,67
"4014",20,"1979",1,5,1,2,2,68
"4023",21,"1979",1,98,1,2,2,68
"4024",21,"1979",1,98,1,2,2,64
"4025",21,"1979",1,98,1,2,2,68
"4032",22,"1979",2,2,1,2,2,68
"4057",22,"1979",1,1,2,2,2,67
"4061",22,"1979",1,2,2,2,2,68
"4074",22,"1979",1,3,1,2,2,68
"4095",16,"1979",2,3,1,2,2,67
"4096",16,"1979",2,3,1,2,2,68
"4104",16,"1979",1,2,2,2,2,68
"4105",16,"1979",1,2,2,2,2,68
"4107",16,"1979",1,1,2,2,2,68
"4126",16,"1979",1,5,1,2,2,67
"4135",16,"1979",3,2,1,2,2,68
"4156",16,"1979",1,2,1,2,2,68
"4157",16,"1979",1,2,1,2,2,68
"4159",16,"1979",1,2,1,2,2,60
"4161",16,"1979",1,2,1,2,2,67
"4183",19,"1979",2,2,1,2,2,68
"4184",19,"1979",2,2,1,2,2,68
"4209",19,"1979",2,2,1,2,2,64
"4224",19,"1979",2,2,1,2,2,68
"4226",19,"1979",2,3,1,2,2,60
"4244",19,"1979",2,1,1,2,2,67
"4245",19,"1979",2,1,1,2,2,68
"4247",19,"1979",1,1,1,2,2,68
"4254",19,"1979",2,2,1,2,2,65
"4281",19,"1979",1,3,1,2,2,68
"4288",19,"1979",2,1,1,2,2,67
"4324",32,"1979",4,6,1,2,2,67
"4325",32,"1979",1,5,1,2,2,68
"4336",32,"1979",1,1,2,2,2,64
"4339",32,"1979",2,3,1,2,2,62
"4342",32,"1979",1,3,1,2,2,67
"4346",32,"1979",1,4,1,2,2,68
"4353",32,"1979",1,2,1,2,2,68
"4383",32,"1979",1,3,1,2,2,68
"4384",32,"1979",1,3,1,2,2,65
"4395",32,"1979",1,3,1,2,2,68
"4417",8,"1979",2,2,2,2,2,64
"4423",8,"1979",1,1,2,2,2,60
