"","MSACC","year","houseid","income","race","hispanic","reported","serious"
"10860",3,"1979",1,1,2,2,2,64
"10932",39,"1979",2,1,2,2,2,68
"10957",33,"1979",1,2,2,2,2,68
"11033",39,"1979",3,1,2,2,2,60
"11068",39,"1979",2,5,2,2,2,68
"11113",39,"1979",2,4,2,2,2,64
"11120",39,"1979",1,2,2,2,2,68
"11133",39,"1979",1,2,2,2,2,68
"11233",39,"1979",1,5,2,2,2,68
"11255",5,"1979",1,1,2,2,2,65
"11295",11,"1979",1,4,2,2,2,68
"11296",11,"1979",1,4,2,2,2,65
"11297",11,"1979",1,4,2,2,2,64
"11298",11,"1979",1,4,2,2,2,65
"11457",17,"1979",1,1,2,2,2,63
"11476",17,"1979",2,1,2,2,2,65
"11496",17,"1979",1,2,2,2,2,67
"11528",17,"1979",1,4,2,2,2,67
"11561",17,"1979",4,1,2,2,2,68
"11597",17,"1979",1,5,2,2,2,68
"11822",30,"1979",3,1,2,2,2,67
"11950",31,"1979",1,1,2,2,2,65
"12441",1,"1979",1,6,2,8,2,65
"12676",21,"1980",1,2,2,2,2,67
"12705",21,"1980",1,98,2,2,2,64
"12721",21,"1980",1,1,2,2,2,64
"12771",26,"1980",3,1,2,2,2,65
"12775",26,"1980",1,1,2,2,2,64
"12777",26,"1980",1,1,2,2,2,60
"12779",26,"1980",1,1,2,2,2,64
"12808",26,"1980",1,1,2,2,2,64
"12842",26,"1980",1,2,2,2,2,68
"12843",26,"1980",1,2,2,2,2,68
"12855",26,"1980",1,1,2,2,2,63
"12872",26,"1980",1,98,2,2,2,68
"12875",26,"1980",2,1,2,2,2,60
"12927",26,"1980",1,1,2,2,2,62
"12998",28,"1980",1,1,2,2,2,65
"13325",21,"1980",2,1,2,2,2,67
"13337",21,"1980",1,3,2,2,2,68
"13371",21,"1980",2,3,2,2,2,64
"13385",21,"1980",2,2,2,2,2,64
"13393",21,"1980",1,1,2,2,2,65
"13421",21,"1980",1,1,2,2,2,63
"13423",21,"1980",2,1,2,2,2,64
"13424",21,"1980",2,1,2,2,2,65
"13426",21,"1980",1,2,2,2,2,62
"13469",21,"1980",1,2,2,2,2,68
"13488",21,"1980",1,2,2,2,2,62
"13518",21,"1980",1,5,2,2,2,64
"13519",21,"1980",1,98,2,2,2,67
"13521",21,"1980",1,98,2,2,2,67
"13601",20,"1980",2,1,2,2,2,68
"13652",21,"1980",1,3,2,2,2,64
"13803",22,"1980",1,98,2,2,2,68
"13818",22,"1980",1,2,2,2,2,68
"13834",22,"1980",1,3,2,2,2,64
"14311",8,"1980",2,2,2,2,2,65
"14478",6,"1980",3,1,2,2,2,65
"14515",6,"1980",2,1,2,2,2,64
"14532",6,"1980",2,3,2,2,2,68
"14533",6,"1980",2,3,2,2,2,68
"14540",6,"1980",1,1,2,2,2,68
"14557",6,"1980",2,2,2,2,2,64
"14587",6,"1980",2,3,2,2,2,68
"14589",6,"1980",1,2,2,2,2,63
"14921",12,"1980",1,1,2,2,2,64
"15362",18,"1980",1,2,2,2,2,65
"15595",10,"1980",1,2,2,2,2,67
"15613",23,"1980",1,1,2,2,2,65
"15737",2,"1980",2,1,2,2,2,65
"15771",2,"1980",1,2,2,2,2,68
"15787",2,"1980",2,1,2,2,2,68
"15954",15,"1980",1,3,2,2,2,68
"16000",3,"1980",2,98,2,2,2,60
"16020",3,"1980",1,2,2,2,2,64
"16118",39,"1980",2,3,2,2,2,64
"16138",39,"1980",1,2,2,2,2,65
"16426",39,"1980",1,98,2,2,2,63
"16503",38,"1980",1,1,2,2,2,64
"16564",5,"1980",2,1,2,2,2,67
